Four-year	0.16439375	0.52826023	37300	0.10132466	75700
Two-year	0.1014861	0.41571927	32500	0.072178237	56700
Two-year	0.14578484	0.29293981	30200	0.071751289	42800
Four-year	0.079602167	0.63694984	47900	0.29114985	112200
Four-year	0.10549294	0.46367347	33500	0	95300
Two-year	0.16685601	0.3412993	35400	0.17234071	44600
Four-year	0.14358	0.59015089	34400	0.083491348	60300
Four-year	0.1347615	0.36819476	38200	0.23605846	117900
Two-year	0.11721273	0.48764721	33700	0.094420128	68400
Four-year	0.08032614	0.68194026	56100	0.3784273	120200
Four-year	0.066269442	0.66637415	68200	0.46681935	98700
Four-year	0.12131184	0.69550425	39200	0.12325122	71600
Four-year	0.13121608	0.32198945	39200	0.17562686	52700
Four-year	0.059008088	0.68875158	52700	0.34541002	80200
Four-year	0.081481747	0.544034	85300	0.53203964	134400
Four-year	0.068033375	0.54061365	65600	0.47367033	108300
Four-year	0.16806634	0.47361469	49200	0.2570464	76000
Four-year	0.063799098	0.58458394	41400	0.22335519	75500
Two-year	0.10965821	0.56324011	32100	0.092420556	63200
Two-year	0.13565312	0.32883319	33200	0.12035832	47200
Less than Two-year	0.14914258	0.30883443	27800	0.0419279	65800
Two-year	0.079974294	0.61479151	37000	0.086416051	67600
Four-year	0.049698465	0.64980233	53300	0.38024122	89900
Two-year	0.16359998	0.291596	29600	0.09003298	36400
Four-year	0.070121169	0.59219152	48700	0.37753186	108400
Four-year	0.11009079	0.2838347	40600	0.23638399	33500
Two-year	0.18610872	0.32525873	23300	0.055754106	36100
Four-year	0.099866651	0.64237285	45400	0.23754057	86600
Two-year	0.18039362	0.33135593	22700	0.026777739	30200
Four-year	0.089089513	0.62836319	40600	0.13912766	75500
Less than Two-year	0.19930874	0.36987647	21900	0	49200
Four-year	0.061793774	0.64431745	45800	0.25249612	94300
Less than Two-year	0.14256103	0.26827091	26100	0.097010195	27900
Two-year	0.12618622	0.48660848	29500	0.055417202	48800
Two-year	0.10942554	0.4494226	39000	0.15582024	74200
Four-year	0.08612521	0.61031872	38700	0.15790118	88000
Two-year	0.1821547	0.56152076	27100	0.020711908	65000
Four-year	0.13655598	0.70462656	36700	0.10357448	53800
Four-year	0.08845035	0.6471647	40500	0.10906697	75500
Two-year	0.14052245	0.39309791	36400	0.13729364	78300
Four-year	0.1100345	0.62427807	58600	0.37920541	104500
Four-year	0.053721521	0.82188666	43600	0.20873478	78600
Four-year	0.12612016	0.48560932	30500	0.089343667	64400
Four-year	0.12532501	0.55898976	39600	0.12412783	90600
Two-year	0.19766657	0.40532565	17500	0.061545223	35700
Four-year	0.10017971	0.59366995	40000	0.17062111	89100
Four-year	0.12716109	0.68581057	33900	0.1849605	49200
Four-year	0.07973586	0.66679204	54300	0.32432073	122100
Four-year	0.089193642	0.63539433	51000	0.30658579	110600
Four-year	0.12341484	0.74982899	34800	0.22187859	71800
Two-year	0.13365641	0.53731084	32900	0.090368375	64000
Two-year	0.16384514	0.45758101	39800	0.16967331	88200
Four-year	0.066766694	0.61028093	52200	0.35203153	119100
Two-year	0.11111147	0.4211888	42800	0.1568712	74600
Four-year	0.072415575	0.55138421	84200	0.57303077	199700
Four-year	0.12053148	0.70850742	39600	0.13535394	88400
Two-year	0.13853866	0.56207031	36200	0.11394878	84800
Four-year	0.099816665	0.61592591	49300	0.27310541	83200
Four-year	0.2292151	0.69340795	39300	0.17000711	102500
Two-year	0.082858883	0.58647311	35300	0.091698922	74600
Four-year	0.090043344	0.55356848	54300	0.42719781	99600
Four-year	0.15016513	0.44186538	35600	0.16269442	96100
Two-year	0.11927651	0.42295858	40800	0.17739049	78900
Two-year	0.14675993	0.517636	32700	0.11358315	51100
Two-year	0.15854913	0.43360728	29900	0.065973751	54500
Two-year	0.12839872	0.48828775	31900	0.089150235	38600
Two-year	0.13428621	0.27818215	25000	0.061111405	30100
Two-year	0.15472214	0.50975567	32700	0.099499933	53200
Four-year	0.10276026	0.50929028	62200	0.45875201	131800
Four-year	0.083517589	0.57052082	52900	0.52419454	110800
Four-year	0.1266741	0.4686285	35800	0.25537232	81800
Four-year	0.078455023	0.68457133	42300	0.20385541	87900
Four-year	0.11192802	0.50633097	38500	0.15617856	77600
Two-year	0.15759003	0.35011157	38500	0.20115633	42200
Four-year	0.075561024	0.75761187	46600	0.26594561	87700
Two-year	0.15785317	0.23214878	27500	0.059521224	35200
Four-year	0.064946473	0.60263324	59700	0.42130095	114500
Two-year	0.1396452	0.42067751	35700	0.23113316	78600
Less than Two-year	0.19484086	0.32116267	29500	0.054655585	42700
Four-year	0.14271575	0.75305003	39400	0.26984861	83800
Four-year	0.073656142	0.59595132	43200	0.33853337	90400
Four-year	0.066256948	0.6709826	41800	0.207424	78000
Four-year	0.093627259	0.57149899	49900	0.2786735	83600
Four-year	0.11105725	0.56692559	43900	0.22615728	119500
Four-year	0.12567756	0.75585812	37700	0.14262077	73800
Four-year	0.11228829	0.56966305	36600	0.14582914	67200
Four-year	0.10100727	0.6524502	45400	0.28165594	85900
Four-year	0.066285998	0.59457123	43400	0.25267395	99400
Four-year	0.066960081	0.70545608	50100	0.38931629	87900
Four-year	0.070990607	0.54245234	43500	0.19257948	82700
Two-year	0.15252599	0.40548474	20000	0.03662429	33200
Four-year	0.11515098	0.54505438	46300	0.22464931	83300
Two-year	0.16808084	0.53482848	26100	0.024782011	53200
Four-year	0.14084432	0.5099743	31200	0.096917614	65100
Two-year	0.12770234	0.42292818	31300	0.059669714	78400
Two-year	0.11336399	0.49928409	31300	0.063686207	61100
Two-year	0.14007929	0.54442006	27300	0.062701166	61100
Two-year	0.079089291	0.595649	36000	0.11246574	62100
Two-year	0.14820324	0.46098489	33000	0.10885451	70800
Four-year	0.078711607	0.6773985	39900	0.19241962	77200
Four-year	0.089529	0.58908486	40400	0.18161322	84100
Four-year	0.1148246	0.49966329	45900	0.28984284	90400
Two-year	0.13393705	0.4637492	41000	0.21755446	102200
Two-year	0.11650328	0.52818024	30600	0.10824675	56400
Four-year	0.058247395	0.70940554	53100	0.32840189	81900
Four-year	0.080069363	0.50407398	67000	0.52093887	113300
Four-year	0.1000796	0.46162519	53400	0.39126664	122400
Four-year	0.097439885	0.5351193	45800	0.22793123	74300
Four-year	0.075739145	0.52027094	36400	0.13252532	80800
Four-year	0.12958913	0.41745961	37800	0.17677213	42400
Two-year	0.14011016	0.53862935	29800	0.11353285	55700
Two-year	0.18054889	0.29013917	38200	0.14720593	82000
Four-year	0.064064294	0.61460036	49800	0.3001757	88200
Two-year	0.13011186	0.4618026	28600	0.037457015	67300
Four-year	0.076642796	0.5826292	86300	0.59354371	143300
Four-year	0.09190584	0.60599256	38200	0.15736085	75500
Four-year	0.080230944	0.59345227	49200	0.2013604	108100
Two-year	0.14252008	0.51044184	31500	0.10500699	58900
Four-year	0.14652576	0.51650965	36100	0.11650085	64600
Two-year	0.15219337	0.21558975	25100	0.036031976	31100
Two-year	0.10835494	0.46705595	33400	0.08585012	64600
Two-year	0.12105733	0.50706977	36300	0.1063942	76400
Four-year	0.12999183	0.5948481	42300	0.25738013	73900
Two-year	0.15917934	0.36449561	33100	0.16504201	64800
Four-year	0.069277905	0.58970016	38200	0.08190304	80400
Two-year	0.15729596	0.55095249	28200	0.053779617	78400
Two-year	0.13197736	0.54605395	42000	0.1921438	84500
Four-year	0.1212462	0.71257001	44400	0.27390283	101000
Two-year	0.1949632	0.2384138	18700	0	37700
Less than Two-year	0.1559139	0.14996074	16100	0.0430598	25100
Four-year	0.07304766	0.56111228	56100	0.1581502	93800
Two-year	0.11056215	0.44045267	36500	0.17650659	59900
Four-year	0.1709336	0.28815848	21400	0.024012055	77400
Two-year	0.10692944	0.51397055	34100	0.13631655	72500
Two-year	0.18024683	0.49540168	32100	0.11534952	48700
Two-year	0.16092928	0.47901785	33600	0.11627213	51500
Two-year	0.12509865	0.55848658	32500	0.072762996	57700
Four-year	0.097180918	0.6840238	53400	0.27520585	111000
Two-year	0.13459326	0.24427831	29400	0.09346433	39400
Two-year	0.13095634	0.49786714	34100	0.10744457	57400
Four-year	0.080903485	0.55400813	39200	0.097103536	62000
Four-year	0.10059681	0.62557709	48100	0.24877769	106100
Two-year	0.13278282	0.29947591	30100	0.10403577	45400
Four-year	0.099116251	0.38075513	53200	0.36021557	35500
Two-year	0.059114162	0.65438241	42400	0.31680515	59000
Four-year	0.095112041	0.45325154	40600	0.20236182	109900
Four-year	0.13338956	0.50174236	48900	0.26508507	75200
Two-year	0.11048298	0.35845265	32200	0.084768854	72100
Two-year	0.16563113	0.40162104	40000	0.1821537	85400
Four-year	0.10517939	0.1937815	25700	0.086832456	28800
Four-year	0.068408698	0.56235588	53500	0.31616139	111600
Four-year	0.083438016	0.59373504	64500	0.5978179	164600
Two-year	0.091899037	0.45359665	42800	0.30048823	44700
Four-year	0.086493932	0.47036147	46200	0.28893378	74300
Two-year	0.18182774	0.47833654	34200	0.12189633	64100
Two-year	0.11079103	0.49032876	34600	0.089674801	81800
Four-year	0.10268974	0.72902215	66200	0.44659302	119400
Four-year	0.1287951	0.73558074	35100	0.097758904	72000
Four-year	0.033652335	0.70965993	67600	0.58879513	114300
Four-year	0.091644168	0.61510849	48500	0.35119694	111800
Two-year	0.12243332	0.56688595	33600	0.053176969	62400
Four-year	0.057283189	0.78110844	48500	0.23009655	85100
Four-year	0.15040737	0.46888578	30800	0.072300799	58200
Four-year	0.079443432	0.5631516	66800	0.30870003	184000
Four-year	0.10071946	0.54464799	58700	0.3763307	98600
Two-year	0.12517545	0.58583105	29100	0.07754612	56300
Two-year	0.088656805	0.54642975	34900	0.084689409	62600
Two-year	0.13917431	0.621225	26400	0.02507096	46800
Two-year	0.079048723	0.64581424	34600	0.14635338	57600
Four-year	0.10640553	0.64084941	47700	0.23683476	109100
Four-year	0.036840823	0.6042431	92200	0.51558954	103800
Four-year	0.10094877	0.5660482	38700	0.15143028	64400
Two-year	0.13640784	0.44648826	36500	0.12573892	73700
Two-year	0.088500239	0.56930137	36100	0.11260071	75000
Four-year	0.10064373	0.16886793	30200	0.094593532	32100
Less than Two-year	0.15400939	0.26681754	19800	0	42600
